Stock A,Stock B,t-score,p-value,1% CV,5% CV,10% CV,Hurst Exponent,Half-life,Times Crossing the Mean,Dummy Same Label,Dummy Same Sector
IPG,COO,-3.4691550484212894,0.0352294451061594,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2079765026155488,-1009.0677574385139,31,0,0
JNJ,COO,-3.5554732040937918,0.0277845564492548,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.18523686401741932,-892.1241810973345,29,0,1
COO,LYV,-3.7834176279601337,0.014261513139461952,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.1984449580891656,-1394.2136232686953,33,0,0
MMC,COO,-4.148901666538732,0.004354034358448233,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19144432638461956,-1178.877980738507,23,0,0
COO,MCD,-3.636970171048396,0.022035443966298033,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20494911918682546,31545.770561810332,27,0,0
COO,TAP,-3.498651019643362,0.03251515995976071,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20921751249093573,-633.8723086893192,17,0,0
COO,NEE,-3.5465909508574667,0.02848271249186624,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2021151607144238,-1181.114040533009,21,0,0
NI,COO,-3.672943336108309,0.01984532107448709,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2031737154185677,-1049.9984833339934,37,0,0
ORCL,COO,-4.846569300497689,0.00031208024660934043,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19635517892857124,-1044.3683700113493,33,0,0
PLD,COO,-3.843205939052064,0.011860303172054035,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19531451262920926,-1209.9183771081978,21,0,0
QCOM,COO,-3.5071385393230314,0.03176779788340179,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2282726737483517,-1085.367511966778,29,0,0
COO,RSG,-3.3681619771331928,0.046011803326384465,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.1993851062514576,-1290.9999523268025,27,0,0
COO,SLB,-3.6091388867582586,0.02387080350214849,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.20636786671319407,-665.0251389588401,25,0,0
COO,SRE,-4.195231729020203,0.0037089860708832533,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.1936413529736312,-1267.204186296226,19,0,0
WMB,COO,-3.4695471356802527,0.03519214640051982,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2010970221450252,-1042.0650838009092,45,0,0
COO,WLTW,-3.4125146590961735,0.040979367821612434,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.1885342527651118,-2168.5666778742,27,0,0
EXPD,CPRT,-4.574970277973702,0.0009197212705913596,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2330729517473263,344.78767338636453,25,0,1
CPRT,EXR,-3.5637143831205247,0.027149950513927018,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21900063859364652,447.4140024322863,63,0,0
NDAQ,CPRT,-4.1745723415229286,0.0039849660787989955,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2076757252486202,780.7379285020819,37,0,0
CPRT,POOL,-3.3805838517110014,0.04455324018592394,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2362363970726042,-982.9984388921216,37,0,0
PTC,CPRT,-3.541817556056195,0.028864068251870774,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2468105107331328,1034.5387503716768,18,0,0
QCOM,CPRT,-3.5998710717818536,0.024510600097031796,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.28038414673989914,187.91552409542655,19,0,0
RMD,CPRT,-3.4458997317332734,0.037502152057065086,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22136827128456749,3687.0146925511976,25,0,0
SPGI,CPRT,-3.5369319590640584,0.0292588988471743,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2260426156786788,-1114.4215058739467,23,0,0
CPRT,CRM,-3.4696488155321767,0.035182479187209945,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2116639343415528,-2124.148658599062,17,0,0
SYY,CPRT,-3.647697873294349,0.0213613720633504,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21434180068417052,212.00496489295043,23,0,0
UNP,CPRT,-3.483219886685567,0.033912181931953334,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2468889558498,-1049.0065836592628,21,0,1
VFC,CPRT,-3.731899463466744,0.016664991296100187,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2492936569193707,285.9374835616235,33,0,0
CPRT,ZTS,-3.4765328557503348,0.034533174778433214,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2301920365492301,-4435.912420440909,23,0,0
CTRA,GLW,-3.67552122952084,0.019695917678872063,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.21515315396704202,149.21106237132247,46,0,0
DLR,GLW,-3.536535746450667,0.029291120114103945,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19868812291063606,-3552.4398367806925,49,0,0
XOM,GLW,-3.3773073948175294,0.0449341802424645,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22774623294950705,1028.3181515508413,21,0,0
GLW,JNJ,-3.3943022374915452,0.04298726974634495,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22910343647142214,-3051.082462914333,41,0,0
JNPR,GLW,-3.499018341983409,0.0324825094216801,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2569559717295139,121.01192219572712,19,0,1
OMC,GLW,-3.457186982841779,0.03638411175968663,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2552139462878213,1513.1025770863125,22,0,0
PPG,GLW,-3.352417256807605,0.04791714541300076,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.19318071757503386,3294.266363614285,62,0,0
QCOM,GLW,-3.418682127712052,0.04031742555890842,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.2960887410543344,2763.435878657139,22,0,1
WMB,GLW,-3.4023804387908667,0.04208676351650729,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.22341775213126025,243.90123594030533,25,0,0
COST,EXR,-3.8041842639892676,0.013382745381865662,-3.9110240391475353,-3.3442455823231008,-3.050079718073018,0.23023260289784486,-806.0312980921005,19,0,0
