Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BTC,HOLX,inf,34.828857488961916,0
BTC,HD,36573.29625821796,87.81601090554126,0
BTC,HON,228787.75393604196,76.57515772905262,0
BTC,HRL,309253.34641588345,204.40417302722344,0
BTC,HST,270974.6703511938,115.89817699675604,0
BTC,HWM,404828.54552469397,62.70697049373766,0
BTC,HPQ,160093.46223884966,57.68387371094589,0
BTC,HUM,185830.88924508728,164.3403662479194,0
BTC,HII,315237.18659154885,245.34072526005554,0
BTC,HBAN,216688.3338313604,64.66730518021207,0
BTC,IEX,198890.952263162,116.80889630326622,0
BTC,IDXX,61039.90077677942,34.49215211872572,0
BTC,ITW,118045.59164135868,102.30804623843238,0
BTC,ILMN,288900.5615239243,141.2940334750594,0
BTC,INCY,317945.44314414,261.03467766593565,0
BTC,IR,115574.85836419697,53.925694630168586,0
BTC,INTC,315108.67915637,245.79937077782097,0
BTC,ICE,58946.18986294842,134.037314524051,0
BTC,IBM,303702.88530552934,189.48565980980874,0
BTC,IP,inf,54.170457624266675,0
BTC,IPG,inf,53.1057473420953,0
BTC,IFF,309902.1973738215,207.3478319396155,0
BTC,INTU,116167.46889159604,91.15473947769163,0
BTC,ISRG,109522.55325452446,72.04704503205284,0
BTC,IVZ,261889.9894803584,71.4097862755129,0
BTC,IPGP,49193070.43980575,35.57533967842025,0
BTC,IQV,inf,81.19533266897332,0
BTC,IRM,272758.6438427673,118.4331087377717,0
BTC,JBHT,98031.1647237609,76.36234371977552,0
BTC,JKHY,309062.00032216037,204.98108242086613,0
BTC,J,260917.3340830826,100.25468823795913,0
BTC,JNJ,309027.8593789318,203.8740755577596,0
BTC,JCI,39132.91869140843,30.542963569191848,0
BTC,JPM,223609.03124168722,94.77515031569786,0
BTC,JNPR,307848.35761277884,198.68512253318755,0
BTC,K,312472.5171768941,214.35528874182828,0
BTC,KEY,177788.34593336374,60.40638413836339,0
BTC,KEYS,229456.93669115394,116.62079060911034,0
BTC,KMB,312287.1035408529,212.54747520078638,0
BTC,KIM,inf,44.11897493484694,0
BTC,KMI,311001.8382412788,213.92425886603965,0
BTC,KLAC,164933.29905714586,54.82150251750621,0
BTC,KHC,84798.97830025197,135.27624103207063,0
BTC,KR,294582.1086494977,185.09536834051934,0
BTC,LHX,313033.9135023801,220.38082540805615,0
